id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
52,Ardyss International,https://www.linkedin.com/sales/accounts/insights?companyId=576512,http://www.ardyss.com,"Las Vegas, Nevada Area",Consumer Goods,201-500,"1,260 employees on LinkedIn",576512
53,Kirby Company,https://www.linkedin.com/sales/accounts/insights?companyId=604043,http://www.kirby.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,685 employees on LinkedIn,604043
54,Symmons Industries,https://www.linkedin.com/sales/accounts/insights?companyId=65685,http://www.symmons.com,Greater Boston Area,Consumer Goods,201-500,194 employees on LinkedIn,65685
55,"Summer Infant, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=123502,http://www.summerinfant.com,"Providence, Rhode Island Area",Consumer Goods,201-500,178 employees on LinkedIn,123502
56,"Trijicon, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=250542,http://www.trijicon.com,Greater Detroit Area,Consumer Goods,201-500,167 employees on LinkedIn,250542
57,TSP Companies,https://www.linkedin.com/sales/accounts/insights?companyId=819882,http://www.avedameansbusiness.com,"Tampa/St. Petersburg, Florida Area",Consumer Goods,51-200,112 employees on LinkedIn,819882
58,Arett Sales,https://www.linkedin.com/sales/accounts/insights?companyId=151868,http://www.arett.com,Greater Philadelphia Area,Consumer Goods,201-500,91 employees on LinkedIn,151868
59,Combe Incorporated,https://www.linkedin.com/sales/accounts/insights?companyId=42104,http://www.combe.com,Greater New York City Area,Consumer Goods,201-500,322 employees on LinkedIn,42104
61,Campbell Hausfeld,https://www.linkedin.com/sales/accounts/insights?companyId=19859,http://www.campbellhausfeld.com,"Cincinnati, Ohio Area",Consumer Goods,201-500,132 employees on LinkedIn,19859
62,Bushnell,https://www.linkedin.com/sales/accounts/insights?companyId=35676,http://www.bushnell.com,"Kansas City, Missouri Area",Consumer Goods,201-500,164 employees on LinkedIn,35676
63,RAM Mounts,https://www.linkedin.com/sales/accounts/insights?companyId=2552314,http://www.rammount.com,Greater Seattle Area,Consumer Goods,201-500,74 employees on LinkedIn,2552314
64,Liberty Hardware,https://www.linkedin.com/sales/accounts/insights?companyId=29489,http://www.libertyhardware.com/about,"Greensboro/Winston-Salem, North Carolina Area",Consumer Goods,201-500,275 employees on LinkedIn,29489
65,Timbuk2,https://www.linkedin.com/sales/accounts/insights?companyId=47853,http://www.timbuk2.com,United States,Consumer Goods,201-500,101 employees on LinkedIn,47853
66,Frontier Co-op,https://www.linkedin.com/sales/accounts/insights?companyId=102726,http://www.frontiercoop.com,"Cedar Rapids, Iowa Area",Consumer Goods,201-500,186 employees on LinkedIn,102726
67,Implus,https://www.linkedin.com/sales/accounts/insights?companyId=75669,http://www.implus.com,"Raleigh-Durham, North Carolina Area",Consumer Goods,201-500,263 employees on LinkedIn,75669
68,ADW Acosta,https://www.linkedin.com/sales/accounts/insights?companyId=43902,http://www.adww.com,Greater Seattle Area,Consumer Goods,201-500,211 employees on LinkedIn,43902
69,Astor Chocolate,https://www.linkedin.com/sales/accounts/insights?companyId=140594,http://www.astorchocolate.com/,Greater New York City Area,Consumer Goods,201-500,113 employees on LinkedIn,140594
70,Woodstream Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=78938,http://www.woodstream.com,"Lancaster, Pennsylvania Area",Consumer Goods,201-500,317 employees on LinkedIn,78938
71,"ShurTech Brands, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=429496,http://www.shurtech.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,241 employees on LinkedIn,429496
72,Fleet Laboratories,https://www.linkedin.com/sales/accounts/insights?companyId=31223,http://www.cbfleet.com,Greater New York City Area,Consumer Goods,201-500,199 employees on LinkedIn,31223
73,Hartz Mountain Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=31199,http://www.hartz.com,United States,Consumer Goods,201-500,260 employees on LinkedIn,31199
74,StockX,https://www.linkedin.com/sales/accounts/insights?companyId=15261355,https://stockx.com,United States,Consumer Goods,201-500,152 employees on LinkedIn,15261355
75,Arden Companies,https://www.linkedin.com/sales/accounts/insights?companyId=417987,http://www.ardencompanies.com,Greater Detroit Area,Consumer Goods,201-500,172 employees on LinkedIn,417987
76,The Gorilla Glue Company,https://www.linkedin.com/sales/accounts/insights?companyId=122740,http://www.gorillatough.com/,"Cincinnati, Ohio Area",Consumer Goods,201-500,218 employees on LinkedIn,122740
77,Blendtec,https://www.linkedin.com/sales/accounts/insights?companyId=80193,http://www.blendtec.com,"Provo, Utah Area",Consumer Goods,201-500,203 employees on LinkedIn,80193
78,Ivystone Group LLC,https://www.linkedin.com/sales/accounts/insights?companyId=954213,http://www.ivystonegroupllc.com,Greater Philadelphia Area,Consumer Goods,201-500,212 employees on LinkedIn,954213
79,Kreg Tool Company,https://www.linkedin.com/sales/accounts/insights?companyId=323510,http://www.kregtool.com,"Des Moines, Iowa Area",Consumer Goods,201-500,130 employees on LinkedIn,323510
80,ECRM,https://www.linkedin.com/sales/accounts/insights?companyId=243677,http://ecrm.marketgate.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,187 employees on LinkedIn,243677
81,Burdette Beckmann Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1742844,http://bbiteam.com,Miami/Fort Lauderdale Area,Consumer Goods,201-500,166 employees on LinkedIn,1742844
82,Rejuvenation,https://www.linkedin.com/sales/accounts/insights?companyId=85133,http://www.rejuvenation.com,"Portland, Oregon Area",Consumer Goods,201-500,221 employees on LinkedIn,85133
84,Perlick Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=146457,http://www.perlick.com,Greater Milwaukee Area,Consumer Goods,201-500,155 employees on LinkedIn,146457
85,Zenith Home Corp.,https://www.linkedin.com/sales/accounts/insights?companyId=109690,http://www.zenith-products.com,Greater Philadelphia Area,Consumer Goods,201-500,99 employees on LinkedIn,109690
86,Lundberg Family Farms,https://www.linkedin.com/sales/accounts/insights?companyId=331762,http://www.lundberg.com/,"Chico, California Area",Consumer Goods,201-500,130 employees on LinkedIn,331762
87,DaySpring Cards,https://www.linkedin.com/sales/accounts/insights?companyId=58873,http://www.dayspring.com,"Fayetteville, Arkansas Area",Consumer Goods,201-500,222 employees on LinkedIn,58873
88,"DecoPac, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=152909,http://www.decopac.com,Greater Minneapolis-St. Paul Area,Consumer Goods,201-500,151 employees on LinkedIn,152909
89,Plano Synergy,https://www.linkedin.com/sales/accounts/insights?companyId=3652932,http://planosynergy.com,Greater Chicago Area,Consumer Goods,201-500,220 employees on LinkedIn,3652932
90,Akron Brass Company,https://www.linkedin.com/sales/accounts/insights?companyId=806853,https://www.akronbrass.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,128 employees on LinkedIn,806853
92,La Tortilla Factory,https://www.linkedin.com/sales/accounts/insights?companyId=75305,http://www.latortillafactory.com,United States,Consumer Goods,201-500,102 employees on LinkedIn,75305
93,Novelty Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=76625,http://www.noveltyinc.com,"Indianapolis, Indiana Area",Consumer Goods,201-500,97 employees on LinkedIn,76625
94,SilencerCo,https://www.linkedin.com/sales/accounts/insights?companyId=2459263,http://www.silencerco.com,Greater Salt Lake City Area,Consumer Goods,201-500,100 employees on LinkedIn,2459263
95,Exmark Manufacturing Company,https://www.linkedin.com/sales/accounts/insights?companyId=303601,https://www.exmark.com,"Lincoln, Nebraska Area",Consumer Goods,201-500,137 employees on LinkedIn,303601
96,"Aprilaire, a Division of Research Products Corporation",https://www.linkedin.com/sales/accounts/insights?companyId=85193,http://www.aprilaire.com,"Madison, Wisconsin Area",Consumer Goods,201-500,220 employees on LinkedIn,85193
97,Meyer Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=810968,http://www.meyer.com,United States,Consumer Goods,201-500,299 employees on LinkedIn,810968
98,American Licorice Company,https://www.linkedin.com/sales/accounts/insights?companyId=865713,http://www.americanlicorice.com/,Greater Chicago Area,Consumer Goods,201-500,120 employees on LinkedIn,865713
99,Blistex Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=51209,http://www.blistex.com,Greater Chicago Area,Consumer Goods,201-500,185 employees on LinkedIn,51209
100,"Kai USA Ltd. - Kershaw Knives, Zero Tolerance Knives, Shun Cutlery, and Kai Housewares",https://www.linkedin.com/sales/accounts/insights?companyId=2714795,http://www.kaiusaltd.com/,"Portland, Oregon Area",Consumer Goods,201-500,88 employees on LinkedIn,2714795
101,Breville USA,https://www.linkedin.com/sales/accounts/insights?companyId=2227488,http://www.brevilleUSA.com,,Consumer Goods,201-500,66 employees on LinkedIn,2227488
102,Smithers-Oasis Company,https://www.linkedin.com/sales/accounts/insights?companyId=78099,http://www.smithersoasis.com,United States,Consumer Goods,201-500,257 employees on LinkedIn,78099
103,"Four Seasons Heating, Air Conditioning and Plumbing",https://www.linkedin.com/sales/accounts/insights?companyId=1015615,http://www.fourseasonsheatingcooling.com,Greater Chicago Area,Consumer Goods,201-500,126 employees on LinkedIn,1015615
104,Nutramax Laboratories,https://www.linkedin.com/sales/accounts/insights?companyId=120413,http://www.nutramaxlabs.com,"Charlotte, North Carolina Area",Consumer Goods,201-500,249 employees on LinkedIn,120413
105,"Bell Laboratories, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=9235655,http://www.belllabs.com,"Madison, Wisconsin Area",Consumer Goods,201-500,124 employees on LinkedIn,9235655
106,Rug Doctor LLC,https://www.linkedin.com/sales/accounts/insights?companyId=77281,http://www.rugdoctor.com/,Dallas/Fort Worth Area,Consumer Goods,201-500,263 employees on LinkedIn,77281
107,Medeco Security Locks,https://www.linkedin.com/sales/accounts/insights?companyId=370232,http://www.medeco.com,"Roanoke, Virginia Area",Consumer Goods,201-500,101 employees on LinkedIn,370232
109,Quickie Manufacturing,https://www.linkedin.com/sales/accounts/insights?companyId=94778,http://www.quickie.com,Greater Philadelphia Area,Consumer Goods,201-500,96 employees on LinkedIn,94778
110,iLoveToCreate,https://www.linkedin.com/sales/accounts/insights?companyId=718504,http://ilovetocreate.com,"Fresno, California Area",Consumer Goods,201-500,68 employees on LinkedIn,718504
111,Anagram International,https://www.linkedin.com/sales/accounts/insights?companyId=137954,http://www.anagramballoons.com,United States,Consumer Goods,201-500,170 employees on LinkedIn,137954
112,True Brands,https://www.linkedin.com/sales/accounts/insights?companyId=123791,http://www.truebrands.com,Greater Seattle Area,Consumer Goods,201-500,168 employees on LinkedIn,123791
113,Grace Management Group,https://www.linkedin.com/sales/accounts/insights?companyId=1658208,http://www.gracemg.com,"Greenville, South Carolina Area",Consumer Goods,201-500,86 employees on LinkedIn,1658208
114,Nylabone,https://www.linkedin.com/sales/accounts/insights?companyId=839403,http://www.nylabone.com,Greater New York City Area,Consumer Goods,201-500,73 employees on LinkedIn,839403
115,Acme United Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=61740,http://www.acmeunited.com,Greater New York City Area,Consumer Goods,201-500,162 employees on LinkedIn,61740
