name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"SnS Design, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=10627492,http://www.snsdesign.com,Greater New York City Area,Design,10 employees on LinkedIn,10627492
Kroll Associates,https://www.linkedin.com/sales/accounts/insights?companyId=882681,http://www.krollassoc.com,"Springfield, Massachusetts Area",Design,11 employees on LinkedIn,882681
Standard Issue,https://www.linkedin.com/sales/accounts/insights?companyId=10404029,http://standardissuedesign.com/,Greater New York City Area,Design,13 employees on LinkedIn,10404029
Product Ventures,https://www.linkedin.com/sales/accounts/insights?companyId=247463,http://www.productventures.com,Greater New York City Area,Design,49 employees on LinkedIn,247463
Harbour Mechanical Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=5993843,http://www.harbourmech.com,,Mechanical or Industrial Engineering,10 employees on LinkedIn,5993843
G K Design,https://www.linkedin.com/sales/accounts/insights?companyId=8566967,http://www.gk-design.co.jp/english.html,,Design,13 employees on LinkedIn,8566967
Exotic Interiors,https://www.linkedin.com/sales/accounts/insights?companyId=9696923,http://www.exotic-interiors.com,,Design,14 employees on LinkedIn,9696923
"Sigma Design, Product Design and Engineering",https://www.linkedin.com/sales/accounts/insights?companyId=57014,http://www.sigmadzn.com,"Portland, Oregon Area",Design,194 employees on LinkedIn,57014
ANDesign Lab,https://www.linkedin.com/sales/accounts/insights?companyId=2285706,http://www.andesignlab.com,"OrangeCounty, California Area",Design,14 employees on LinkedIn,2285706
"HS Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=561149,http://www.hs-design.com,Greater New York City Area,Design,37 employees on LinkedIn,561149
MPE-Inc,https://www.linkedin.com/sales/accounts/insights?companyId=492544,http://www.mpe-inc.com,Greater Milwaukee Area,Mechanical or Industrial Engineering,65 employees on LinkedIn,492544
Intent-Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=555176,http://www.intent-design.com,Greater Detroit Area,Design,28 employees on LinkedIn,555176
"Spark* Creative Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=294478,http://www.sparkfl.com,"West Palm Beach, Florida Area",Design,13 employees on LinkedIn,294478
"Helix Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=101749,http://www.helixdesign.com,Greater Boston Area,Design,14 employees on LinkedIn,101749
DiMonte Group Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=2560266,http://www.dimontegroup.com,Greater Chicago Area,Design,14 employees on LinkedIn,2560266
Up-Rev Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=3028005,http://www.up-rev.com,"Melbourne, Florida Area",Design,18 employees on LinkedIn,3028005
Pearl Engineering Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=322864,http://www.PearlEngineering.com,"Wausau, Wisconsin Area",Mechanical or Industrial Engineering,29 employees on LinkedIn,322864
Bilio,https://www.linkedin.com/sales/accounts/insights?companyId=6636389,http://www.biliogroup.com,San Francisco Bay Area,Design,12 employees on LinkedIn,6636389
Sundberg-Ferar,https://www.linkedin.com/sales/accounts/insights?companyId=108500,http://www.sundbergferar.com,Greater Detroit Area,Design,22 employees on LinkedIn,108500
Carroll Design,https://www.linkedin.com/sales/accounts/insights?companyId=845430,http://www.carrolldesign.com,Greater Boston Area,Mechanical or Industrial Engineering,11 employees on LinkedIn,845430
ICG inc.,https://www.linkedin.com/sales/accounts/insights?companyId=17894893,http://www.icg-intl.com,"Orange County, California Area",Design,10 employees on LinkedIn,17894893
I D Workshop,https://www.linkedin.com/sales/accounts/insights?companyId=6297452,http://www.idwportland.com/,,Design,11 employees on LinkedIn,6297452
Insync Design,https://www.linkedin.com/sales/accounts/insights?companyId=117624,http://www.insyncdesign.com,Greater New York City Area,Design,12 employees on LinkedIn,117624
KAALO,https://www.linkedin.com/sales/accounts/insights?companyId=3278973,http://www.kaalo.com,"Austin, Texas Area",Design,18 employees on LinkedIn,3278973
Pensar Development,https://www.linkedin.com/sales/accounts/insights?companyId=131084,http://www.pensardevelopment.com,Greater Seattle Area,Design,70 employees on LinkedIn,131084
Fuzion Design Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1522634,http://www.fuziondesign.com,"Providence, Rhode Island Area",Design,12 employees on LinkedIn,1522634
Kinetic Vision,https://www.linkedin.com/sales/accounts/insights?companyId=1106624,http://www.kinetic-vision.com,"Cincinnati, Ohio Area",Design,94 employees on LinkedIn,1106624
