name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
Mike,https://www.linkedin.com/sales/accounts/insights?companyId=2995668,http://www.mikeandmaaike.com,United States,Design,2 employees on LinkedIn,2995668
"Fredricks Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=144064,http://www.fredricks.com,,Design,16 employees on LinkedIn,144064
Broadview Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=2595273,http://www.broadviewproduct.com,"Greater Grand Rapids, Michigan Area",Mechanical or Industrial Engineering,29 employees on LinkedIn,2595273
IDEAZ,https://www.linkedin.com/sales/accounts/insights?companyId=365913,http://www.ideaz.tech,"Hartford, Connecticut Area",Design,26 employees on LinkedIn,365913
Geremia Design,https://www.linkedin.com/sales/accounts/insights?companyId=1706872,http://geremiadesign.com,San Francisco Bay Area,Design,10 employees on LinkedIn,1706872
HDS Industrial Design and Drafting,https://www.linkedin.com/sales/accounts/insights?companyId=3332322,http://www.hdsidd.com,"Buffalo/Niagara, New York Area",Mechanical or Industrial Engineering,1 employees on LinkedIn,3332322
Y Studios,https://www.linkedin.com/sales/accounts/insights?companyId=2363467,http://www.ystudios.com,San Francisco Bay Area,Design,8 employees on LinkedIn,2363467
Marquardt,https://www.linkedin.com/sales/accounts/insights?companyId=142081,http://www.marquardtplus.com,Greater Chicago Area,Design,11 employees on LinkedIn,142081
KEM STUDIO,https://www.linkedin.com/sales/accounts/insights?companyId=1257551,http://www.kemstudio.com,"Kansas City, Missouri Area",Design,16 employees on LinkedIn,1257551
STELdesign,https://www.linkedin.com/sales/accounts/insights?companyId=10247240,http://steldesign.com/,"Santa Barbara, California Area",Design,9 employees on LinkedIn,10247240
Enhance Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=1408733,https://enhancepd.com/,United States,Design,13 employees on LinkedIn,1408733
Tiger Studio,https://www.linkedin.com/sales/accounts/insights?companyId=2051309,http://www.tigerstudiodesign.com,"Greater Grand Rapids, Michigan Area",Design,20 employees on LinkedIn,2051309
KEK Associates Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=103566,http://kekdesign.com,"Rochester, New York Area",Design,34 employees on LinkedIn,103566
"DT Engineering Associates, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=1326567,http://www.dtengineer.com,"Sacramento, California Area",Mechanical or Industrial Engineering,9 employees on LinkedIn,1326567
Humid Creative Agency,https://www.linkedin.com/sales/accounts/insights?companyId=672345,http://www.humidcreative.com,Greater Philadelphia Area,Design,7 employees on LinkedIn,672345
"Modern Edge, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=604134,http://www.modernedge.com,"Portland, Oregon Area",Design,10 employees on LinkedIn,604134
ATOM Innovation   Product Development (Formerly ATOMdesign),https://www.linkedin.com/sales/accounts/insights?companyId=611382,http://www.atom-inc.co,"Phoenix, Arizona Area",Mechanical or Industrial Engineering,10 employees on LinkedIn,611382
"Mec Us, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=3747329,http://www.mecengineering.us,Greater Detroit Area,Mechanical or Industrial Engineering,9 employees on LinkedIn,3747329
Blur Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=10456657,http://www.blurpd.com,"Raleigh-Durham, North Carolina Area",Design,14 employees on LinkedIn,10456657
Keystone Solutions Group,https://www.linkedin.com/sales/accounts/insights?companyId=487428,http://www.keystone-pd.com,"Kalamazoo, Michigan Area",Mechanical or Industrial Engineering,17 employees on LinkedIn,487428
Enginuity Works,https://www.linkedin.com/sales/accounts/insights?companyId=90499,http://www.enginuityworks.com,Greater Atlanta Area,Mechanical or Industrial Engineering,7 employees on LinkedIn,90499
ShineOnLED,https://www.linkedin.com/sales/accounts/insights?companyId=3327424,http://www.shineonled.com,San Francisco Bay Area,Design,4 employees on LinkedIn,3327424
Empire Group,https://www.linkedin.com/sales/accounts/insights?companyId=604291,http://www.empiregroupusa.com,"Providence, Rhode Island Area",Design,17 employees on LinkedIn,604291
Cerno LLC,https://www.linkedin.com/sales/accounts/insights?companyId=1677136,http://www.cernogroup.com/,"Orange County, California Area",Design,16 employees on LinkedIn,1677136
Leardon Solutions,https://www.linkedin.com/sales/accounts/insights?companyId=770735,http://www.leardon.com,Greater San Diego Area,Mechanical or Industrial Engineering,4 employees on LinkedIn,770735
Amron,https://www.linkedin.com/sales/accounts/insights?companyId=2496335,http://AmronExperimental.com,Greater NewYork City Area,Design,23 employees on LinkedIn,2496335
