name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
Advanced Functional Solutions,https://www.linkedin.com/sales/accounts/insights?companyId=25005622,http://AFSOLUTIONSGROUP.COM,Greater Denver Area,Mechanical or Industrial Engineering,0 employees on LinkedIn,25005622
SourceSync,https://www.linkedin.com/sales/accounts/insights?companyId=2811697,http://srcsync.com,Greater Chicago Area,Mechanical or Industrial Engineering,2 employees on LinkedIn,2811697
Radnall,https://www.linkedin.com/sales/accounts/insights?companyId=5271261,http://www.radnall.com,Greater New York City Area,Design,1 employees on LinkedIn,5271261
Design Allegro,https://www.linkedin.com/sales/accounts/insights?companyId=6489899,http://www.designallegro.com/,,Design,1 employees on LinkedIn,6489899
Neely Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=4099435,,,Design,1 employees on LinkedIn,4099435
Mark Kurth Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=6214006,,,Design,0 employees on LinkedIn,6214006
"J. Schweickart, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=11326995,https://jschweickart.com/,"Lima, Ohio Area",Design,0 employees on LinkedIn,11326995
Insync Design,https://www.linkedin.com/sales/accounts/insights?companyId=117624,http://www.insyncdesign.com,Greater New York City Area,Design,12 employees on LinkedIn,117624
Knight Engineering Solutions LLC,https://www.linkedin.com/sales/accounts/insights?companyId=25647745,http://i-solids.com,"Houston, Texas Area",Design,1 employees on LinkedIn,25647745
Quick Models,https://www.linkedin.com/sales/accounts/insights?companyId=5290028,http://www.quickmodels.net,"Houston, Texas Area",Mechanical or Industrial Engineering,1 employees on LinkedIn,5290028
OCTANE Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=3832687,http://www.OCTANEproductdesign.com,,Design,3 employees on LinkedIn,3832687
level design SF,https://www.linkedin.com/sales/accounts/insights?companyId=15207367,http://leveldesignsf.com,San Francisco Bay Area,Design,5 employees on LinkedIn,15207367
richard clarkson studio,https://www.linkedin.com/sales/accounts/insights?companyId=3176632,http://richardclarkson.com/,Greater New York City Area,Design,5 employees on LinkedIn,3176632
KAALO,https://www.linkedin.com/sales/accounts/insights?companyId=3278973,http://www.kaalo.com,"Austin, Texas Area",Design,18 employees on LinkedIn,3278973
Codesign,https://www.linkedin.com/sales/accounts/insights?companyId=267756,http://www.codesignco.com,Greater Boston Area,Design,6 employees on LinkedIn,267756
Quntz design,https://www.linkedin.com/sales/accounts/insights?companyId=619757,http://www.quntz.com,United States,Design,2 employees on LinkedIn,619757
imz-design,https://www.linkedin.com/sales/accounts/insights?companyId=3641370,http://www.imz-design.com,San Francisco Bay Area,Design,2 employees on LinkedIn,3641370
J-2 Creative,https://www.linkedin.com/sales/accounts/insights?companyId=2785530,http://www.j-2creative.com,,Design,1 employees on LinkedIn,2785530
Ratio Product Lab,https://www.linkedin.com/sales/accounts/insights?companyId=3651489,http://www.ratio.com,,Design,4 employees on LinkedIn,3651489
Bayley.Co,https://www.linkedin.com/sales/accounts/insights?companyId=2062869,http://www.bayley.co,San Francisco Bay Area,Design,1 employees on LinkedIn,2062869
"Rusay Design, LLC.",https://www.linkedin.com/sales/accounts/insights?companyId=2115446,http://www.rusaydesign.com,Greater Los Angeles Area,Design,0 employees on LinkedIn,2115446
BootCat Design LLC,https://www.linkedin.com/sales/accounts/insights?companyId=7969036,http://WWW.BootCat.design,Greater Seattle Area,Design,1 employees on LinkedIn,7969036
Groupe Brandonology,https://www.linkedin.com/sales/accounts/insights?companyId=470438,http://www.brandonology.com,Greater New York City Area,Design,0 employees on LinkedIn,470438
RSVR visual research,https://www.linkedin.com/sales/accounts/insights?companyId=2879927,http://www.rs-vr.com,Greater Seattle Area,Design,2 employees on LinkedIn,2879927
Monkey Syndicate,https://www.linkedin.com/sales/accounts/insights?companyId=378993,http://www.monkeysyndicate.com,"Orange County, California Area",Design,1 employees on LinkedIn,378993
Nonfiction LLC,https://www.linkedin.com/sales/accounts/insights?companyId=17947639,http://www.nonfiction.design,,Design,9 employees on LinkedIn,17947639
A T Associates,https://www.linkedin.com/sales/accounts/insights?companyId=1835318,http://atadesign.net,Greater Boston Area,Design,2 employees on LinkedIn,1835318
Computer Lounge Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=375313,http://www.computerloungeinc.com,Greater Chicago Area,Design,1 employees on LinkedIn,375313
maker llc,https://www.linkedin.com/sales/accounts/insights?companyId=24996627,http://www.maker-llc.com,United States,Design,4 employees on LinkedIn,24996627
Kroll Assoc,https://www.linkedin.com/sales/accounts/insights?companyId=4356067,http://www.krollassoc.com/,,Design,0 employees on LinkedIn,4356067
"Ensign Studios, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=9474321,http://www.ensignstudios.com,,Design,1 employees on LinkedIn,9474321
Pensar Development,https://www.linkedin.com/sales/accounts/insights?companyId=131084,http://www.pensardevelopment.com,Greater Seattle Area,Design,70 employees on LinkedIn,131084
Pip Tompkin Studio,https://www.linkedin.com/sales/accounts/insights?companyId=1941948,http://www.piptompkin.com,Greater Los Angeles Area,Design,9 employees on LinkedIn,1941948
dashdot,https://www.linkedin.com/sales/accounts/insights?companyId=404607,http://www.dashdot.com,Greater Los Angeles Area,Design,3 employees on LinkedIn,404607
Dyal and Partners,https://www.linkedin.com/sales/accounts/insights?companyId=441099,http://www.dyalpartners.com,"Austin, Texas Area",Design,3 employees on LinkedIn,441099
Black Design News Network,https://www.linkedin.com/sales/accounts/insights?companyId=794869,http://www.blackdesignnews.com,United States,Design,0 employees on LinkedIn,794869
BOTHAM | DESIGN,https://www.linkedin.com/sales/accounts/insights?companyId=672533,http://www.bothamdesign.com,Greater Chicago Area,Design,1 employees on LinkedIn,672533
Cubic VR,https://www.linkedin.com/sales/accounts/insights?companyId=10878886,http://cubic.cool,Greater Atlanta Area,Design,3 employees on LinkedIn,10878886
Rabbit Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=18072961,https://www.rabbitproductdesign.com/home?utm_source&#61;LinkedIn&amp;utm_campaign&#61;Home&amp;utm_content&#61;Rabbit,San Francisco Bay Area,Mechanical or Industrial Engineering,4 employees on LinkedIn,18072961
Leadoff Studio,https://www.linkedin.com/sales/accounts/insights?companyId=11051728,http://leadoffstudio.com/,,Design,2 employees on LinkedIn,11051728
Witchey Designs,https://www.linkedin.com/sales/accounts/insights?companyId=678038,http://witcheydesigns.com,"Oklahoma City, Oklahoma Area",Design,1 employees on LinkedIn,678038
FNKSHN,https://www.linkedin.com/sales/accounts/insights?companyId=894532,http://FNKSHN.com,Greater Salt Lake CityArea,Design,0 employees on LinkedIn,894532
"American Innovative, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=773863,http://www.americaninnovative.com/,Greater Boston Area,Design,0 employees on LinkedIn,773863
SPARCREATIVE,https://www.linkedin.com/sales/accounts/insights?companyId=355978,http://www.sparcreative.com,Greater Seattle Area,Design,0 employees on LinkedIn,355978
Fuzion Design Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1522634,http://www.fuziondesign.com,"Providence, Rhode Island Area",Design,12 employees on LinkedIn,1522634
"Innovative Global Solutions, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=1147058,http://www.innovativeglobalsolutions.com,"Syracuse, New York Area",Design,5 employees on LinkedIn,1147058
MAKERS Product Development Inc,https://www.linkedin.com/sales/accounts/insights?companyId=508853,http://www.makerspd.com,Greater Boston Area,Design,0 employees on LinkedIn,508853
studioEberle,https://www.linkedin.com/sales/accounts/insights?companyId=1783413,http://studioEberle.com,,Design,1 employees on LinkedIn,1783413
Kinetic Vision,https://www.linkedin.com/sales/accounts/insights?companyId=1106624,http://www.kinetic-vision.com,"Cincinnati, Ohio Area",Design,94 employees on LinkedIn,1106624
Embedded Engineering Group,https://www.linkedin.com/sales/accounts/insights?companyId=800086,http://embeddedengineeringgroup.com,United States,Design,1 employees on LinkedIn,800086
Dison Design,https://www.linkedin.com/sales/accounts/insights?companyId=24975122,,"Indianapolis, Indiana Area",Design,1 employees on LinkedIn,24975122
Dolecek DesignWorks,https://www.linkedin.com/sales/accounts/insights?companyId=25058933,http://www.dolecekdesignworks.com,"Austin, Texas Area",Mechanical or Industrial Engineering,1 employees on LinkedIn,25058933
agency design,https://www.linkedin.com/sales/accounts/insights?companyId=27063105,http://www.designwithagency.com,Greater Chicago Area,Design,2 employees on LinkedIn,27063105
Infinite Mind Designs,https://www.linkedin.com/sales/accounts/insights?companyId=9191826,http://www.InfiniteMindDesigns.com,"Norfolk, Virginia Area",Design,1 employees on LinkedIn,9191826
Siero Design LLC,https://www.linkedin.com/sales/accounts/insights?companyId=833468,http://www.sierodesign.com,"Hartford, Connecticut Area",Design,5 employees on LinkedIn,833468
Engineering FX,https://www.linkedin.com/sales/accounts/insights?companyId=570765,http://engineeringfx.com,San Francisco Bay Area,Design,1 employees on LinkedIn,570765
devnanidelaney LLC,https://www.linkedin.com/sales/accounts/insights?companyId=522721,http://www.devdeldesign.com,Greater Detroit Area,Design,3 employees on LinkedIn,522721
Modern Craft NYC,https://www.linkedin.com/sales/accounts/insights?companyId=5168487,http://www.moderncraftnyc.com,United States,Design,0 employees on LinkedIn,5168487
"Third Boxcar, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=364458,http://www.thirdboxcar.com,Greater Seattle Area,Design,2 employees on LinkedIn,364458
"CreatID, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2168539,http://www.creatid.com,"Portland,Oregon Area",Design,1 employees on LinkedIn,2168539
Vanessa Hirschowitz Architectural Design,https://www.linkedin.com/sales/accounts/insights?companyId=9224345,http://www.vh-ad.com,,Design,1 employees on LinkedIn,9224345
Five B Product Design and Development,https://www.linkedin.com/sales/accounts/insights?companyId=3596836,http://fivebdesign.com,Greater Los Angeles Area,Design,1 employees on LinkedIn,3596836
Switch Creatives,https://www.linkedin.com/sales/accounts/insights?companyId=5241687,http://switchcreatives.com,"Melbourne, Florida Area",Design,3 employees on LinkedIn,5241687
Steamed Artichoke Studio,https://www.linkedin.com/sales/accounts/insights?companyId=3593069,http://www.nataliehansen.com,United States,Design,1 employees on LinkedIn,3593069
Pragmatc Innovation,https://www.linkedin.com/sales/accounts/insights?companyId=18091341,http://www.pragmatc.com,Greater Boston Area,Design,3 employees on LinkedIn,18091341
Astroted,https://www.linkedin.com/sales/accounts/insights?companyId=27054422,http://www.astroted.com,Miami/Fort Lauderdale Area,Design,8 employees on LinkedIn,27054422
Dang La Architecture,https://www.linkedin.com/sales/accounts/insights?companyId=9223471,http://www.dlahouston.com,"Houston, Texas Area",Design,3 employees on LinkedIn,9223471
i3D,https://www.linkedin.com/sales/accounts/insights?companyId=10252784,,San Francisco Bay Area,Mechanical or Industrial Engineering,1 employees on LinkedIn,10252784
Créa Inc Design LTD,https://www.linkedin.com/sales/accounts/insights?companyId=1830644,http://www.creaincdesign.com,United States,Design,2 employees on LinkedIn,1830644
