id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
73,Chobani,https://www.linkedin.com/sales/accounts/insights?companyId=348709,http://www.chobani.com,"Syracuse, New York Area",Food,1001-5000,"1,062 employees on LinkedIn",348709
74,KIND,https://www.linkedin.com/sales/accounts/insights?companyId=1042218,http://www.kindsnacks.com,Greater New York City Area,Food,501-1000,820 employees on LinkedIn,1042218
75,iRobot,https://www.linkedin.com/sales/accounts/insights?companyId=9860,http://www.irobot.com,Greater Boston Area,Consumer Electronics,501-1000,"1,182 employees on LinkedIn",9860
76,Remington Arms Company,https://www.linkedin.com/sales/accounts/insights?companyId=77191,http://www.remington.com,"Greensboro/Winston-Salem, North Carolina Area",Sporting Goods,1001-5000,968 employees on LinkedIn,77191
77,Performance Food Group,https://www.linkedin.com/sales/accounts/insights?companyId=14984,http://www.pfgc.com,"Richmond, Virginia Area",Food,10001,"4,281 employees on LinkedIn",14984
78,HMSHost,https://www.linkedin.com/sales/accounts/insights?companyId=12934,http://www.hmshost.com,United States,Food,10001,"4,397 employees on LinkedIn",12934
79,New Belgium Brewing,https://www.linkedin.com/sales/accounts/insights?companyId=56397,http://www.newbelgium.com/brewery/company.aspx,"Fort Collins, Colorado Area",Food,501-1000,559 employees on LinkedIn,56397
80,Glanbia Performance Nutrition (GPN),https://www.linkedin.com/sales/accounts/insights?companyId=416541,http://www.glanbia.com,Greater Chicago Area,Food,1001-5000,769 employees on LinkedIn,416541
81,"SRAM, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=28039,http://www.sram.com/,Greater Chicago Area,Sporting Goods,1001-5000,870 employees on LinkedIn,28039
82,Wilson Sporting Goods Co.,https://www.linkedin.com/sales/accounts/insights?companyId=17718,http://www.wilson.com,Greater Chicago Area,Sporting Goods,1001-5000,898 employees on LinkedIn,17718
1549,Dg21,https://www.linkedin.com/sales/accounts/insights?companyId=4755353,,,Food,201-500,55 employees on LinkedIn,4755353
83,Black Diamond Equipment,https://www.linkedin.com/sales/accounts/insights?companyId=88661,http://www.blackdiamondequipment.com,Greater Salt Lake City Area,Sporting Goods,201-500,314 employees on LinkedIn,88661
84,"Del Monte Fresh Produce N.A., Inc",https://www.linkedin.com/sales/accounts/insights?companyId=427273,http://www.freshdelmonte.com,Miami/Fort Lauderdale Area,Food,10001,"1,490 employees on LinkedIn",427273
85,Niagara Bottling,https://www.linkedin.com/sales/accounts/insights?companyId=120859,,Greater Los Angeles Area,Food,1001-5000,,120859
86,Brother International Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=8604,http://www.brother-usa.com,Greater New York City Area,Consumer Electronics,1001-5000,"1,364 employees on LinkedIn",8604
87,Restaurant Associates,https://www.linkedin.com/sales/accounts/insights?companyId=165724,http://www.restaurantassociates.com,Greater New York City Area,Food,1001-5000,"5,361 employees on LinkedIn",165724
88,FOCUS Brands,https://www.linkedin.com/sales/accounts/insights?companyId=49135,http://www.focusbrands.com,Greater Atlanta Area,Food,1001-5000,487 employees on LinkedIn,49135
89,Smith,https://www.linkedin.com/sales/accounts/insights?companyId=45498,http://www.smith-wesson.com,"Springfield, Massachusetts Area",Sporting Goods,1001-5000,670 employees on LinkedIn,45498
90,OtterBox,https://www.linkedin.com/sales/accounts/insights?companyId=130207,http://www.otterbox.com,"Fort Collins, Colorado Area",Consumer Electronics,1001-5000,750 employees on LinkedIn,130207
91,Sierra Nevada Brewing Co.,https://www.linkedin.com/sales/accounts/insights?companyId=85924,http://www.sierranevada.com/careers,"Chico, California Area",Food,1001-5000,532 employees on LinkedIn,85924
92,Rogue Fitness,https://www.linkedin.com/sales/accounts/insights?companyId=1781202,http://www.roguefitness.com,"Columbus, Ohio Area",Sporting Goods,501-1000,240 employees on LinkedIn,1781202
93,Stone Brewing,https://www.linkedin.com/sales/accounts/insights?companyId=95751,http://www.stonebrew.com/index2.php,Greater San Diego Area,Food,1001-5000,620 employees on LinkedIn,95751
94,Ruger Firearms,https://www.linkedin.com/sales/accounts/insights?companyId=430461,http://www.ruger.com,Greater New York City Area,Sporting Goods,1001-5000,343 employees on LinkedIn,430461
95,Dogfish Head,https://www.linkedin.com/sales/accounts/insights?companyId=596853,https://www.themuse.com/companies/dogfishhead,"Dover, Delaware Area",Food,201-500,246 employees on LinkedIn,596853
96,Jamba Juice,https://www.linkedin.com/sales/accounts/insights?companyId=11209,http://www.jambajuice.com,United States,Food,1001-5000,"2,663 employees on LinkedIn",11209
97,mophie,https://www.linkedin.com/sales/accounts/insights?companyId=2024697,http://www.mophie.com,"Orange County, California Area",Consumer Electronics,201-500,183 employees on LinkedIn,2024697
98,Krispy Kreme,https://www.linkedin.com/sales/accounts/insights?companyId=23982,http://www.krispykreme.com,United States,Food,1001-5000,"2,763 employees on LinkedIn",23982
99,TiVo,https://www.linkedin.com/sales/accounts/insights?companyId=166454,http://www.tivo.com,San Francisco Bay Area,Consumer Electronics,1001-5000,"1,614 employees on LinkedIn",166454
100,JBL Professional,https://www.linkedin.com/sales/accounts/insights?companyId=6421,http://www.jblpro.com,United States,Consumer Electronics,5001-10000,264 employees on LinkedIn,6421
101,"SIG SAUER, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=95763,http://www.sigsauer.com,Greater Boston Area,Sporting Goods,1001-5000,676 employees on LinkedIn,95763
102,Cannondale,https://www.linkedin.com/sales/accounts/insights?companyId=38687,http://www.dorelsports.com/careers/,United States,Sporting Goods,201-500,168 employees on LinkedIn,38687
103,Pepsi Bottling Ventures,https://www.linkedin.com/sales/accounts/insights?companyId=42837,http://www.pepsibottlingventures.com,United States,Food,501-1000,"2,120 employees on LinkedIn",42837
